股票代码,起始日期,结束日期,行数,覆盖年数,收盘价<=0天数,成交量=0天数,单日涨跌幅绝对值>21%天数,收盘价较前日变动>50%天数,重复日期条数,关键字段NaN条数,任意红旗,红旗项,红旗分数
600690,2015-06-30,2026-06-30,2596,11.01,0,0,0,0,0,0,False,,0
600741,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
600760,2015-06-30,2026-06-30,2590,11.01,0,0,0,0,0,0,False,,0
600795,2015-06-30,2026-06-30,2608,11.01,0,0,0,0,0,0,False,,0
600803,2015-06-30,2026-06-30,2609,11.01,0,0,0,0,0,0,False,,0
600809,2015-06-30,2026-06-30,2660,11.01,0,0,0,0,0,0,False,,0
600845,2015-06-30,2026-06-30,2667,11.01,0,0,0,0,0,0,False,,0
600875,2015-06-30,2026-06-30,2596,11.01,0,0,0,0,0,0,False,,0
600886,2015-09-18,2026-06-30,2616,10.79,0,0,0,0,0,0,False,,0
600887,2015-06-30,2026-06-30,2648,11.01,0,0,0,0,0,0,False,,0
600893,2015-06-30,2026-06-30,2637,11.01,0,0,0,0,0,0,False,,0
600900,2015-11-16,2026-06-30,2563,10.63,0,0,0,0,0,0,False,,0
600905,2021-06-10,2026-06-30,1224,5.06,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600918,2020-06-03,2026-06-30,1472,6.08,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600919,2016-08-02,2026-06-30,2398,9.92,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600926,2016-10-27,2026-06-30,2349,9.68,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600930,2025-07-16,2026-06-30,231,0.96,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600938,2022-04-21,2026-06-30,1015,4.19,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600941,2022-01-05,2026-06-30,1084,4.48,0,0,0,0,0,0,False,,0
600958,2015-06-30,2026-06-30,2650,11.01,0,0,0,0,0,0,False,,0
600989,2019-05-16,2026-06-30,1728,7.13,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
600999,2015-06-30,2026-06-30,2666,11.01,0,0,0,0,0,0,False,,0
601006,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601009,2015-06-30,2026-06-30,2670,11.01,0,0,0,0,0,0,False,,0
601012,2015-06-30,2026-06-30,2660,11.01,0,0,0,0,0,0,False,,0
601018,2015-06-30,2026-06-30,2535,11.01,0,0,0,0,0,0,False,,0
601021,2015-07-21,2026-06-30,2650,10.95,0,0,0,0,0,0,False,,0
601058,2015-06-30,2026-06-30,2655,11.01,0,0,0,0,0,0,False,,0
601059,2023-02-01,2026-06-30,807,3.41,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601066,2018-06-20,2026-06-30,1947,8.03,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601077,2019-10-29,2026-06-30,1617,6.67,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601088,2015-06-30,2026-06-30,2598,11.01,0,0,0,0,0,0,False,,0
601100,2015-06-30,2026-06-30,2633,11.01,0,0,0,0,0,0,False,,0
601111,2015-07-29,2026-06-30,2650,10.93,0,0,0,0,0,0,False,,0
601117,2015-06-30,2026-06-30,2669,11.01,0,0,0,0,0,0,False,,0
601127,2016-06-15,2026-06-30,2413,10.05,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601136,2022-12-22,2026-06-30,850,3.52,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601138,2018-06-08,2026-06-30,1954,8.07,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601166,2015-06-30,2026-06-30,2667,11.01,0,0,0,0,0,0,False,,0
601169,2015-06-30,2026-06-30,2635,11.01,0,0,0,0,0,0,False,,0
601186,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601211,2015-06-30,2026-06-30,2653,11.01,0,0,0,0,0,0,False,,0
601225,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601229,2016-11-16,2026-06-30,2335,9.62,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601238,2015-06-30,2026-06-30,2662,11.01,0,0,0,0,0,0,False,,0
601288,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601318,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601319,2018-11-16,2026-06-30,1846,7.62,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601328,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601336,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601360,2015-06-30,2026-06-30,2548,11.01,0,0,0,0,0,0,False,,0
601377,2015-06-30,2026-06-30,2654,11.01,0,0,0,0,0,0,False,,0
601390,2015-06-30,2026-06-30,2593,11.01,0,0,0,0,0,0,False,,0
601398,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601456,2020-07-31,2026-06-30,1412,5.92,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601600,2015-06-30,2026-06-30,2563,11.01,0,0,0,0,0,0,False,,0
601601,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601607,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601618,2015-06-30,2026-06-30,2600,11.01,0,0,0,0,0,0,False,,0
601628,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601633,2015-07-13,2026-06-30,2656,10.97,0,0,0,0,0,0,False,,0
601658,2019-12-10,2026-06-30,1587,6.56,0,0,0,0,0,0,False,,0
